Reviewer id,Submission number,Bid
89,35,yes
89,52,yes
89,60,yes
89,161,yes
89,10,maybe
89,0,no
89,1,no
89,2,no
89,3,no
89,4,no
89,5,no
89,6,no
89,7,no
89,8,no
89,9,no
89,11,no
89,12,no
89,13,no
89,14,no
89,15,no
89,16,no
89,17,no
89,18,no
89,19,no
89,20,no
89,21,no
89,22,no
89,23,no
89,24,no
89,25,no
89,26,no
89,27,no
89,28,no
89,29,no
89,30,no
89,31,no
89,32,no
89,33,no
89,34,no
89,36,no
89,37,no
89,38,no
89,39,no
89,40,no
89,41,no
89,42,no
89,43,no
89,44,no
89,45,no
89,46,no
89,47,no
89,48,no
89,49,no
89,50,no
89,51,no
89,53,no
89,54,no
89,55,no
89,56,no
89,57,no
89,58,no
89,59,no
89,61,no
89,62,no
89,63,no
89,64,no
89,65,no
89,66,no
89,67,no
89,68,no
89,69,no
89,70,no
89,71,no
89,72,no
89,73,no
89,74,no
89,75,no
89,76,no
89,77,no
89,78,no
89,79,no
89,80,no
89,81,no
89,82,no
89,83,no
89,84,no
89,85,no
89,86,no
89,87,no
89,88,no
89,89,no
89,90,no
89,91,no
89,92,no
89,93,no
89,94,no
89,95,no
89,96,no
89,97,no
89,98,no
89,99,no
89,100,no
89,101,no
89,102,no
89,103,no
89,104,no
89,105,no
89,106,no
89,107,no
89,108,no
89,109,no
89,110,no
89,111,no
89,112,no
89,113,no
89,114,no
89,115,no
89,116,no
89,117,no
89,118,no
89,119,no
89,120,no
89,121,no
89,122,no
89,123,no
89,124,no
89,125,no
89,126,no
89,127,no
89,128,no
89,129,no
89,130,no
89,131,no
89,132,no
89,133,no
89,134,no
89,135,no
89,136,no
89,137,no
89,138,no
89,139,no
89,140,no
89,141,no
89,142,no
89,143,no
89,144,no
89,145,no
89,146,no
89,147,no
89,148,no
89,149,no
89,150,no
89,151,no
89,152,no
89,153,no
89,154,no
89,155,no
89,156,no
89,157,no
89,158,no
89,159,no
89,160,no
89,162,no
89,163,no
89,164,no
89,165,no
89,166,no
89,167,no
89,168,no
89,169,no
89,170,no
89,171,no
89,172,no
89,173,no
89,174,no
89,175,no
121,1,yes
121,5,yes
121,27,yes
121,29,yes
121,33,yes
121,46,yes
121,49,yes
121,91,yes
121,103,yes
121,125,yes
121,152,yes
121,9,maybe
121,26,maybe
121,30,maybe
121,38,maybe
121,40,maybe
121,75,maybe
121,98,maybe
121,115,maybe
121,153,maybe
121,170,maybe
121,0,no
121,2,no
121,3,no
121,4,no
121,6,no
121,7,no
121,8,no
121,10,no
121,11,no
121,12,no
121,13,no
121,14,no
121,15,no
121,16,no
121,17,no
121,18,no
121,19,no
121,20,no
121,21,no
121,22,no
121,23,no
121,24,no
121,25,no
121,28,no
121,31,no
121,32,no
121,34,no
121,35,no
121,36,no
121,37,no
121,39,no
121,41,no
121,42,no
121,43,no
121,44,no
121,45,no
121,47,no
121,48,no
121,50,no
121,51,no
121,52,no
121,53,no
121,54,no
121,55,no
121,56,no
121,58,no
121,59,no
121,60,no
121,61,no
121,62,no
121,63,no
121,64,no
121,65,no
121,66,no
121,67,no
121,68,no
121,69,no
121,70,no
121,71,no
121,72,no
121,73,no
121,74,no
121,76,no
121,77,no
121,78,no
121,79,no
121,80,no
121,81,no
121,82,no
121,83,no
121,84,no
121,85,no
121,86,no
121,87,no
121,88,no
121,89,no
121,90,no
121,92,no
121,93,no
121,94,no
121,95,no
121,96,no
121,97,no
121,99,no
121,100,no
121,101,no
121,102,no
121,104,no
121,105,no
121,106,no
121,107,no
121,108,no
121,109,no
121,110,no
121,111,no
121,112,no
121,113,no
121,114,no
121,116,no
121,117,no
121,118,no
121,119,no
121,120,no
121,121,no
121,122,no
121,123,no
121,124,no
121,126,no
121,127,no
121,128,no
121,129,no
121,130,no
121,131,no
121,132,no
121,133,no
121,134,no
121,135,no
121,136,no
121,137,no
121,138,no
121,139,no
121,140,no
121,141,no
121,142,no
121,143,no
121,144,no
121,145,no
121,146,no
121,147,no
121,148,no
121,149,no
121,150,no
121,151,no
121,154,no
121,155,no
121,156,no
121,157,no
121,158,no
121,159,no
121,160,no
121,161,no
121,162,no
121,163,no
121,164,no
121,165,no
121,166,no
121,167,no
121,168,no
121,169,no
121,171,no
121,172,no
121,173,no
121,174,no
121,175,no
46,12,yes
46,19,yes
46,29,maybe
46,40,maybe
46,0,no
46,1,no
46,2,no
46,3,no
46,4,no
46,5,no
46,6,no
46,7,no
46,8,no
46,9,no
46,10,no
46,11,no
46,13,no
46,14,no
46,15,no
46,16,no
46,17,no
46,18,no
46,20,no
46,21,no
46,22,no
46,23,no
46,24,no
46,25,no
46,26,no
46,27,no
46,28,no
46,30,no
46,31,no
46,32,no
46,33,no
46,34,no
46,35,no
46,36,no
46,37,no
46,38,no
46,39,no
46,41,no
46,42,no
46,43,no
46,44,no
46,45,no
46,46,no
46,47,no
46,48,no
46,49,no
46,50,no
46,51,no
46,52,no
46,53,no
46,54,no
46,55,no
46,56,no
46,57,no
46,58,no
46,59,no
46,60,no
46,61,no
46,62,no
46,63,no
46,64,no
46,65,no
46,66,no
46,67,no
46,68,no
46,69,no
46,70,no
46,71,no
46,72,no
46,73,no
46,74,no
46,75,no
46,76,no
46,77,no
46,78,no
46,79,no
46,80,no
46,81,no
46,82,no
46,83,no
46,84,no
46,85,no
46,86,no
46,87,no
46,88,no
46,89,no
46,90,no
46,91,no
46,92,no
46,93,no
46,94,no
46,95,no
46,96,no
46,97,no
46,98,no
46,99,no
46,100,no
46,101,no
46,102,no
46,103,no
46,104,no
46,105,no
46,106,no
46,107,no
46,108,no
46,109,no
46,110,no
46,111,no
46,112,no
46,113,no
46,114,no
46,115,no
46,116,no
46,117,no
46,118,no
46,119,no
46,120,no
46,121,no
46,122,no
46,123,no
46,124,no
46,125,no
46,126,no
46,127,no
46,128,no
46,129,no
46,130,no
46,131,no
46,132,no
46,133,no
46,134,no
46,135,no
46,136,no
46,137,no
46,138,no
46,139,no
46,140,no
46,141,no
46,142,no
46,143,no
46,144,no
46,145,no
46,146,no
46,147,no
46,148,no
46,149,no
46,150,no
46,151,no
46,152,no
46,153,no
46,154,no
46,155,no
46,156,no
46,157,no
46,158,no
46,159,no
46,160,no
46,161,no
46,162,no
46,163,no
46,164,no
46,165,no
46,166,no
46,167,no
46,168,no
46,169,no
46,170,no
46,171,no
46,172,no
46,173,no
46,174,no
46,175,no
4,68,yes
4,69,yes
4,82,yes
4,89,yes
4,101,yes
4,124,yes
4,147,yes
4,19,maybe
4,40,maybe
4,44,maybe
4,118,maybe
4,0,no
4,1,no
4,2,no
4,3,no
4,4,no
4,5,no
4,6,no
4,7,no
4,8,no
4,9,no
4,10,no
4,11,no
4,12,no
4,13,no
4,14,no
4,15,no
4,16,no
4,17,no
4,18,no
4,20,no
4,21,no
4,22,no
4,23,no
4,24,no
4,25,no
4,26,no
4,27,no
4,28,no
4,29,no
4,30,no
4,31,no
4,32,no
4,33,no
4,34,no
4,35,no
4,36,no
4,37,no
4,38,no
4,39,no
4,41,no
4,42,no
4,43,no
4,45,no
4,46,no
4,47,no
4,48,no
4,49,no
4,50,no
4,51,no
4,52,no
4,53,no
4,54,no
4,55,no
4,56,no
4,57,no
4,58,no
4,59,no
4,60,no
4,61,no
4,62,no
4,63,no
4,64,no
4,65,no
4,66,no
4,67,no
4,70,no
4,71,no
4,72,no
4,73,no
4,74,no
4,75,no
4,76,no
4,77,no
4,78,no
4,79,no
4,80,no
4,81,no
4,83,no
4,84,no
4,85,no
4,86,no
4,87,no
4,88,no
4,90,no
4,91,no
4,92,no
4,93,no
4,94,no
4,95,no
4,96,no
4,97,no
4,98,no
4,99,no
4,100,no
4,102,no
4,103,no
4,104,no
4,105,no
4,106,no
4,107,no
4,108,no
4,109,no
4,110,no
4,111,no
4,112,no
4,113,no
4,114,no
4,115,no
4,116,no
4,117,no
4,119,no
4,120,no
4,121,no
4,122,no
4,123,no
4,125,no
4,126,no
4,128,no
4,129,no
4,130,no
4,131,no
4,132,no
4,133,no
4,134,no
4,135,no
4,136,no
4,137,no
4,138,no
4,139,no
4,140,no
4,141,no
4,142,no
4,143,no
4,144,no
4,145,no
4,146,no
4,148,no
4,149,no
4,150,no
4,151,no
4,152,no
4,153,no
4,154,no
4,155,no
4,156,no
4,157,no
4,158,no
4,159,no
4,160,no
4,161,no
4,162,no
4,163,no
4,164,no
4,165,no
4,166,no
4,167,no
4,168,no
4,169,no
4,170,no
4,171,no
4,172,no
4,173,no
4,174,no
4,175,no
30,33,yes
30,103,yes
30,119,yes
30,62,maybe
30,98,maybe
30,111,maybe
30,145,maybe
30,152,maybe
30,165,maybe
30,0,no
30,1,no
30,2,no
30,3,no
30,4,no
30,5,no
30,6,no
30,7,no
30,8,no
30,9,no
30,10,no
30,11,no
30,12,no
30,13,no
30,14,no
30,15,no
30,16,no
30,17,no
30,18,no
30,19,no
30,20,no
30,21,no
30,22,no
30,23,no
30,24,no
30,25,no
30,26,no
30,27,no
30,28,no
30,29,no
30,30,no
30,31,no
30,32,no
30,34,no
30,35,no
30,36,no
30,37,no
30,39,no
30,40,no
30,41,no
30,42,no
30,43,no
30,44,no
30,45,no
30,46,no
30,47,no
30,48,no
30,49,no
30,50,no
30,51,no
30,52,no
30,53,no
30,54,no
30,55,no
30,56,no
30,57,no
30,58,no
30,59,no
30,60,no
30,61,no
30,63,no
30,64,no
30,65,no
30,66,no
30,67,no
30,68,no
30,69,no
30,70,no
30,71,no
30,72,no
30,73,no
30,74,no
30,75,no
30,76,no
30,77,no
30,78,no
30,79,no
30,80,no
30,81,no
30,82,no
30,83,no
30,84,no
30,85,no
30,86,no
30,87,no
30,88,no
30,89,no
30,90,no
30,91,no
30,92,no
30,93,no
30,94,no
30,95,no
30,96,no
30,97,no
30,99,no
30,100,no
30,101,no
30,102,no
30,104,no
30,105,no
30,106,no
30,107,no
30,108,no
30,109,no
30,110,no
30,112,no
30,113,no
30,114,no
30,115,no
30,116,no
30,117,no
30,118,no
30,120,no
30,121,no
30,122,no
30,123,no
30,124,no
30,125,no
30,126,no
30,127,no
30,128,no
30,129,no
30,130,no
30,131,no
30,132,no
30,133,no
30,134,no
30,135,no
30,136,no
30,137,no
30,138,no
30,139,no
30,140,no
30,141,no
30,142,no
30,143,no
30,144,no
30,146,no
